node_id,name,category,merge_key
abdominal_distension,腹部膨満,symptoms,
abdominal_pain,腹痛,symptom,
adl,ADL低下,outcome,
af,心房細動,disease,
age_adl,ADL低下,outcome,adl
age_delirium,せん妄,symptom,
age_elderly,高齢,background,
age_frailty,フレイル,pathology,
age_renal,腎機能低下,pathology,
age_swallow,嚥下機能低下,pathology,
air_trapping,エアトラッピング,pathology,
airway_block,気道閉塞,pathology,
airway_obstruction,気道閉塞,pathology,
airway_stenosis,気道狭窄,pathology,
aki,急性腎障害,disease,
alveolar_collapse,肺胞虚脱,pathology,
alveolar_damage,肺胞破壊,pathology,
alveolar_fill,肺胞充満,pathology,
alzheimers,アルツハイマー病,disease,
anaerobic,嫌気代謝,pathology,
anemia,貧血,disease,
angina,狭心症,disease,
antiprotease↓,抗プロテアーゼ低下,pathology,
anxiety,不安障害,disease,
aphasia,失語,symptom,
appetite_loss,食欲低下,symptoms,
arrhythmia,不整脈,disease,
arthritis,関節炎,disease,
ascites,腹水,disease,
aspiration,誤嚥,symptom,
asthma,喘息,disease,
ataxia,運動失調,symptom,
atelectasis,無気肺,disease,
atherosclerosis,動脈硬化,pathology,
attention_deficit,注意障害,symptom,
back_pain,腰痛,symptom,
bed_rest,臥床,pathology,
bone_damage,骨損傷,pathology,
bone_fragility,骨脆弱化,pathology,
bone_fragility,骨脆弱化,pathology,
bone_metastasis,骨転移,disease,
bone_pain,骨痛,symptom,
bowel_contents_retention,腸内容停滞,pathology,
bowel_obstruction,腸閉塞,disease,
bradycardia,徐脈,symptom,
brain_edema,脳浮腫,pathology,
brain_metastasis,脳転移,disease,
brain_necrosis,脳組織壊死,pathology,
bronchitis,気管支炎,disease,
burn,熱傷,disease,
cachexia,悪液質,pathology,
cancer_bleeding,腫瘍出血,pathology,
cancer_fatigue,癌性疲労,symptom,
cancer_inflammation,癌性炎症,pathology,
cancer_pain,癌性疼痛,symptom,
cardiac_arrest,心停止,disease,
cardiac_output↓,心拍出量低下,pathology,
cell_starvation,細胞内エネルギー不足,pathology,
glucose_uptake↓,細胞内糖取り込み低下,pathology,
cellulitis,蜂窩織炎,disease,
cerebral_ischemia,脳虚血,pathology,
cerebral_occlusion,脳血管閉塞,pathology,
chemo_myelosuppression,骨髄抑制,pathology,
chemo_nausea,化学療法性悪心,symptom,nausea
chemo_neutropenia,好中球減少,pathology,
chemotherapy,化学療法,treatment,
chest_pain,胸痛,symptom,
cholecystitis,胆嚢炎,disease,
chronic_bleeding,慢性出血,pathology,
cilia↓,線毛機能低下,pathology,
cirrhosis,肝硬変,disease,
ckd,慢性腎臓病,disease,
co2_retention,二酸化炭素貯留,pathology,
coagulation_abnormality,凝固異常,pathology,
cognitive_decline,認知機能低下,symptom,
cold_sweat,冷汗,symptom,
colon_cancer,大腸がん,disease,
consciousness,意識レベル低下,symptom,
constipation,便秘,symptom,constipation
contractility↓,収縮力低下,pathology,
copd,COPD,disease,
coronary_occlusion,冠動脈閉塞,pathology,
cough_reflex↓,咳嗽反射低下,pathology,
covid,COVID-19,disease,
crp,CRP上昇,test,
cyanosis,チアノーゼ,symptom,
cystitis,膀胱炎,disease,
d_dimer,Dダイマー上昇,test,
deep_breathing↓,深呼吸低下,pathology,
dehydration,脱水,pathology,
delirium,せん妄,symptom,
depression,うつ病,disease,
dermatitis,皮膚炎,disease,
diarrhea,下痢,symptoms,
disuse,廃用症候群,pathology,
dka,糖尿病性ケトアシドーシス,disease,
dm,糖尿病,disease,
dvt,深部静脈血栓症,disease,
dysarthria,構音障害,symptom,
dyspnea,呼吸困難,symptom,
early_satiety,早期膨満感,symptom,
elastic_recoil↓,弾性収縮力低下,pathology,
electrolyte,電解質異常,pathology,
encephalopathy,脳症,pathology,
endocarditis,心内膜炎,disease,
exercise_intolerance,運動耐容能低下,symptom,
external_rotation,外旋位,symptoms,
exudate,滲出液貯留,pathology,
facial_edema,顔面浮腫,symptoms,
fall,転倒,pathology,
fall_risk,転倒リスク,pathology,
fatigue,倦怠感,symptom,
femoral_neck_fracture,大腿骨頸部骨折,disease,
fever,発熱,symptom,fever
fluid_retention,体液貯留,pathology,
fracture,骨折,pathology,
gait_disorder,歩行障害,symptoms,
gas_exchange,ガス交換障害,pathology,
gastric_cancer,胃がん,disease,
gastric_tumor_growth,胃腫瘍増殖,pathology,
gastritis,胃炎,disease,
gi_bleed,消化管出血,pathology,
gi_obstruction,消化管通過障害,pathology,
gluconeogenesis,糖新生亢進,pathology,
glucose,血糖低下,pathology,
hb,ヘモグロビン低下,test,
heart_block,房室ブロック,pathology,
hemoptysis,血痰,symptoms,
hepatitis,肝炎,disease,
hepatomegaly,肝腫大,symptoms,
hf,心不全,disease,
hip_pain,股関節痛,symptoms,
hoarseness,嗄声,symptoms,
htn,高血圧,disease,htn
hyperglycemia,高血糖,pathology,
hyperinflation,過膨張,pathology,
hyperkalemia,高カリウム血症,pathology,
hyperlipidemia,脂質異常症,disease,
hyperthyroid,甲状腺機能亢進症,disease,
hypoglycemia,低血糖,pathology,
hypokalemia,低カリウム血症,pathology,
hypotension,血圧低下,pathology,
hypothyroid,甲状腺機能低下症,disease,
hypoxia,低酸素,pathology,
ileus,イレウス,disease,
immobility,活動制限,pathology,
increased_bowel_pressure,腸管内圧上昇,pathology,
increased_icp,頭蓋内圧亢進,pathology,
infection,感染,pathology,
inflammation,炎症,pathology,
inflammation_airway,気道炎症,pathology,
inflammation_alveolar,肺胞炎症,pathology,
inflammation_systemic,全身炎症,pathology,
influenza,インフルエンザ,disease,
insomnia,不眠,symptom,
insulin_def,インスリン作用不足,pathology,
intestinal_stenosis,腸管狭窄,pathology,
ischemia,虚血,pathology,
jugular_distension,頸静脈怒張,symptoms,
ketone,ケトン体増加,pathology,
left_hf,左心不全,disease,
leg_shortening,下肢短縮,symptoms,
lipolysis,脂肪分解亢進,pathology,
liver_failure,肝不全,pathology,
liver_metastasis,肝転移,disease,
lung_cancer,肺がん,disease,
lung_inflammation,肺の炎症,pathology,
lung_tumor_growth,肺腫瘍増殖,pathology,
malnutrition,低栄養,pathology,
melena,血便,symptoms,
meningitis,髄膜炎,disease,
metastasis,転移,pathology,
mi,心筋梗塞,disease,
microvascular_damage,微小血管障害,pathology,
migraine,片頭痛,disease,
motor_deficit,運動麻痺,symptom,
mucus_hyper,粘液分泌亢進,pathology,
muscle_atrophy,筋萎縮,pathology,
muscle_weakness,筋力低下,symptoms,
myocarditis,心筋炎,disease,
nausea,悪心,symptoms,nausea
necrosis,壊死,pathology,
nephropathy,腎症,pathology,
nephrotic,ネフローゼ症候群,disease,
neuropathic_pain,神経障害性疼痛,symptom,
neuropathy,神経障害,pathology,
obesity,肥満,disease,
oliguria,乏尿,symptoms,
orthopnea,起坐呼吸,symptoms,
osmotic_diuresis,浸透圧利尿,pathology,
osteoporosis,骨粗鬆症,disease,
oxidative_stress,酸化ストレス,pathology,
pain,疼痛,symptoms,
pancreatitis,膵炎,disease,
parkinson,パーキンソン病,disease,
paroxysmal_nocturnal_dyspnea,発作性夜間呼吸困難,symptoms,
patient,Aさん,background,
pe,肺塞栓症,disease,
perforation,穿孔,disease,
pericarditis,心膜炎,disease,
peritonitis,腹膜炎,disease,
plaque,プラーク形成,pathology,
plaque_rupture,プラーク破綻,pathology,
pleural_effusion,胸水,disease,
pn,肺炎,disease,
pneumothorax,気胸,disease,
polyuria,多尿,symptom,
postoperative_pain,術後疼痛,symptoms,
potassium,カリウム異常,pathology,
pressure_ulcer,褥瘡,disease,
prostatitis,前立腺炎,disease,
protease,プロテアーゼ活性,pathology,
pulmonary_congestion,肺うっ血,pathology,
pulmonary_htn,肺高血圧,pathology,
pulmonary_vasoconstriction,肺血管収縮,pathology,
recurrent_laryngeal_nerve_palsy,反回神経麻痺,disease,
renal_failure,腎不全,disease,
renal_flow,腎血流低下,pathology,
renal_hypoperfusion,腎低灌流,pathology,
renal_stone,腎結石,disease,
resp_acidosis,呼吸性アシドーシス,pathology,
retinopathy,網膜症,test,
right_hf,右心不全,disease,
secretion_retention,気道分泌物貯留,pathology,
seizure,けいれん,symptom,
sensory_deficit,感覚障害,symptom,
sepsis,敗血症,disease,
shock,ショック,pathology,
shock_cardiogenic,心原性ショック,pathology,
shock_distributive,敗血症性ショック,pathology,
shock_hypovolemic,低容量性ショック,pathology,
shock_obstructive,閉塞性ショック,pathology,
sinusitis,副鼻腔炎,disease,
sodium,ナトリウム異常,pathology,
spo2,SpO2低下,symptom,
sputum,痰,symptom,
stoma,ストーマ,treatment,
stroke,脳梗塞,disease,
svc_syndrome,上大静脈症候群,disease,
swallowing_disorder,嚥下障害,symptom,
systemic_congestion,全身うっ血,pathology,
